pert_id,pert_iname
cmap-hsf-rbm22,rbm22
cmap-hsf-setdb1,setdb1
cmap-hsf-tcf4,tcf4
cmap-hsf-tead4,tead4
cmap-hsf-terf2ip,terf2ip
cmap-hsf-tfdp1,tfdp1
cmap-hsf-tfdp2,tfdp2
cmap-hsf-tgif1,tgif1
cmap-hsf-tp53,tp53
cmap-hsf-tsc22d4,tsc22d4
cmap-hsf-vps72,vps72
cmap-hsf-yy1,yy1
cmap-hsf-zbtb37,zbtb37
cmap-hsf-zbtb47,zbtb47
cmap-hsf-zcchc6,zcchc6
cmap-hsf-zdhhc11,zdhhc11
cmap-hsf-znf193,znf193
cmap-hsf-znf232,znf232
cmap-hsf-znf24,znf24
cmap-hsf-znf276,znf276
cmap-hsf-znf343,znf343
cmap-hsf-znf385a,znf385a
cmap-hsf-znf385d,znf385d
cmap-hsf-znf439,znf439
cmap-hsf-znf446,znf446
cmap-hsf-znf510,znf510
cmap-hsf-znf550,znf550
cmap-hsf-znf557,znf557
cmap-hsf-znf561,znf561
cmap-hsf-znf571,znf571
cmap-hsf-znf607,znf607
cmap-hsf-znf670,znf670
cmap-hsf-znf679,znf679
cmap-hsf-znf707,znf707
cmap-hsf-znf821,znf821
cmap-hsf-zxdc,zxdc
cmap-hsf-zzz3,zzz3
cmap-hsf-ahr,ahr
cmap-hsf-akap8,akap8
cmap-hsf-arid3a,arid3a
cmap-hsf-arntl,arntl
cmap-hsf-bach1,bach1
cmap-hsf-c1orf25,c1orf25
cmap-hsf-c9orf11,c9orf11
cmap-hsf-cul3,cul3
cmap-hsf-cul5,cul5
cmap-hsf-depdc5,depdc5
cmap-hsf-dmtf1,dmtf1
cmap-hsf-e4f1,e4f1
cmap-hsf-ebf1,ebf1
cmap-hsf-eif2ak2,eif2ak2
cmap-hsf-esyt1,esyt1
cmap-hsf-ewsr1,ewsr1
cmap-hsf-exoc2,exoc2
cmap-hsf-fam171b,fam171b
cmap-hsf-farsb,farsb
cmap-hsf-foxo3,foxo3
cmap-hsf-foxp4,foxp4
cmap-hsf-gatad2b,gatad2b
cmap-hsf-golga2,golga2
cmap-hsf-hoga1,hoga1
cmap-hsf-myt1,myt1
cmap-hsf-plekha4,plekha4
cmap-hsf-prdm14,prdm14
cmap-hsf-rab11fip3,rab11fip3
cmap-hsf-rbm6,rbm6
cmap-hsf-setdb2,setdb2
cmap-hsf-slfn11,slfn11
cmap-hsf-sox5,sox5
cmap-hsf-sox6,sox6
cmap-hsf-stat2,stat2
cmap-hsf-stat6,stat6
cmap-hsf-tax1bp1,tax1bp1
cmap-hsf-tbx2,tbx2
cmap-hsf-tbx3,tbx3
cmap-hsf-tcf12,tcf12
cmap-hsf-tp63,tp63
cmap-hsf-usp39,usp39
cmap-hsf-zbtb1,zbtb1
cmap-hsf-zbtb46,zbtb46
cmap-hsf-zfp91,zfp91
cmap-hsf-zhx1,zhx1
cmap-hsf-zkscan1,zkscan1
cmap-hsf-znf169,znf169
cmap-hsf-znf175,znf175
cmap-hsf-znf219,znf219
cmap-hsf-znf224,znf224
cmap-hsf-znf227,znf227
cmap-hsf-znf281,znf281
cmap-hsf-znf317,znf317
cmap-hsf-znf354a,znf354a
cmap-hsf-znf394,znf394
cmap-hsf-znf398,znf398
cmap-hsf-znf433,znf433
cmap-hsf-znf462,znf462
cmap-hsf-znf530,znf530
cmap-hsf-znf544,znf544
cmap-hsf-znf546,znf546
cmap-hsf-znf549,znf549
cmap-hsf-znf573,znf573
cmap-hsf-znf585a,znf585a
cmap-hsf-znf653,znf653
cmap-hsf-znf658,znf658
cmap-hsf-znf677,znf677
cmap-hsf-znf711,znf711
cmap-hsf-znf74,znf74
cmap-hsf-znf770,znf770
cmap-hsf-znf8,znf8
cmap-hsf-znf92,znf92
cmap-hsf-zscan12,zscan12
cmap-hsf-arnt,arnt
cmap-hsf-bcl6b,bcl6b
cmap-hsf-bhlhe40,bhlhe40
cmap-hsf-brd9,brd9
cmap-hsf-cd36,cd36
cmap-hsf-depdc1,depdc1
cmap-hsf-depdc7,depdc7
cmap-hsf-dvl1,dvl1
cmap-hsf-elk1,elk1
cmap-hsf-elk4,elk4
cmap-hsf-erg,erg
cmap-hsf-esrrg,esrrg
cmap-hsf-etv6,etv6
cmap-hsf-foxn2,foxn2
cmap-hsf-gtf2f1,gtf2f1
cmap-hsf-gtf2ird2,gtf2ird2
cmap-hsf-h2afx,h2afx
cmap-hsf-hbp1,hbp1
cmap-hsf-hlx,hlx
cmap-hsf-hmbox1,hmbox1
cmap-hsf-klf11,klf11
cmap-hsf-lcor,lcor
cmap-hsf-lrp1,lrp1
cmap-hsf-mef2d,mef2d
cmap-hsf-meis2,meis2
cmap-hsf-mkrn3,mkrn3
cmap-hsf-nfia,nfia
cmap-hsf-noc4l,noc4l
cmap-hsf-nr1d2,nr1d2
cmap-hsf-nr2c1,nr2c1
cmap-hsf-nr2c2,nr2c2
cmap-hsf-pbx2,pbx2
cmap-hsf-rarb,rarb
cmap-hsf-rbpj,rbpj
cmap-hsf-rc3h2,rc3h2
cmap-hsf-rfx3,rfx3
cmap-hsf-smad3,smad3
cmap-hsf-smarce1,smarce1
cmap-hsf-sox10,sox10
cmap-hsf-terf1,terf1
cmap-hsf-tigd4,tigd4
cmap-hsf-vdr,vdr
cmap-hsf-zbtb9,zbtb9
cmap-hsf-znf131,znf131
cmap-hsf-znf140,znf140
cmap-hsf-znf19,znf19
cmap-hsf-znf239,znf239
cmap-hsf-znf253,znf253
cmap-hsf-znf26,znf26
cmap-hsf-znf273,znf273
cmap-hsf-znf322a,znf322a
cmap-hsf-znf331,znf331
cmap-hsf-znf345,znf345
cmap-hsf-znf384,znf384
cmap-hsf-znf410,znf410
cmap-hsf-znf436,znf436
cmap-hsf-znf449,znf449
cmap-hsf-znf512,znf512
cmap-hsf-znf519,znf519
cmap-hsf-znf529,znf529
cmap-hsf-znf554,znf554
cmap-hsf-znf558,znf558
cmap-hsf-znf610,znf610
cmap-hsf-znf70,znf70
cmap-hsf-znf774,znf774
cmap-hsf-znf79,znf79
cmap-hsf-zscan21,zscan21
cmap-hsf-atf1,atf1
cmap-hsf-atf6b,atf6b
cmap-hsf-atoh1,atoh1
cmap-hsf-cdx2,cdx2
cmap-hsf-cebpe,cebpe
cmap-hsf-cpsf4,cpsf4
cmap-hsf-creb3l2,creb3l2
cmap-hsf-creb5,creb5
cmap-hsf-dlx2,dlx2
cmap-hsf-dmrt1,dmrt1
cmap-hsf-dnajc1,dnajc1
cmap-hsf-dpf3,dpf3
cmap-hsf-ehf,ehf
cmap-hsf-etv7,etv7
cmap-hsf-fosl2,fosl2
cmap-hsf-foxr2,foxr2
cmap-hsf-gtf2e2,gtf2e2
cmap-hsf-hoxa6,hoxa6
cmap-hsf-hoxc4,hoxc4
cmap-hsf-hoxc9,hoxc9
cmap-hsf-hoxd10,hoxd10
cmap-hsf-jun,jun
cmap-hsf-klf3,klf3
cmap-hsf-klf9,klf9
cmap-hsf-larp2,larp2
cmap-hsf-larp4,larp4
cmap-hsf-lcorl,lcorl
cmap-hsf-lhx8,lhx8
cmap-hsf-lmx1b,lmx1b
cmap-hsf-mbd3,mbd3
cmap-hsf-mbnl1,mbnl1
cmap-hsf-mbnl3,mbnl3
cmap-hsf-meox1,meox1
cmap-hsf-mesp1,mesp1
cmap-hsf-mxi1,mxi1
cmap-hsf-myf6,myf6
cmap-hsf-nr1i3,nr1i3
cmap-hsf-nr2e3,nr2e3
cmap-hsf-olig3,olig3
cmap-hsf-ovol1,ovol1
cmap-hsf-pcgf6,pcgf6
cmap-hsf-pogz,pogz
cmap-hsf-rapgef3,rapgef3
cmap-hsf-rell2,rell2
cmap-hsf-rnf166,rnf166
cmap-hsf-rpa4,rpa4
cmap-hsf-setbp1,setbp1
cmap-hsf-shox2,shox2
cmap-hsf-six2,six2
cmap-hsf-sox15,sox15
cmap-hsf-sox2,sox2
cmap-hsf-tgif2,tgif2
cmap-hsf-thap11,thap11
cmap-hsf-thap5,thap5
cmap-hsf-thap8,thap8
cmap-hsf-tlx2,tlx2
cmap-hsf-tlx3,tlx3
cmap-hsf-usf1,usf1
cmap-hsf-usf2,usf2
cmap-hsf-xpa,xpa
cmap-hsf-zbtb38,zbtb38
cmap-hsf-zcchc11,zcchc11
cmap-hsf-zfyve26,zfyve26
cmap-hsf-znf187,znf187
cmap-hsf-znf277,znf277
cmap-hsf-znf32,znf32
cmap-hsf-znf323,znf323
cmap-hsf-znf333,znf333
cmap-hsf-znf444,znf444
cmap-hsf-znf483,znf483
cmap-hsf-znf488,znf488
cmap-hsf-znf524,znf524
cmap-hsf-znf83,znf83
cmap-hsf-aff1,aff1
cmap-hsf-atf7,atf7
cmap-hsf-bola1,bola1
cmap-hsf-c17orf49,c17orf49
cmap-hsf-chd1,chd1
cmap-hsf-csdc2,csdc2
cmap-hsf-dhx57,dhx57
cmap-hsf-dlx6,dlx6
cmap-hsf-dnajc2,dnajc2
cmap-hsf-e2f3,e2f3
cmap-hsf-ebf4,ebf4
cmap-hsf-foxp2,foxp2
cmap-hsf-gli3,gli3
cmap-hsf-gon4l,gon4l
cmap-hsf-gpatch8,gpatch8
cmap-hsf-hesx1,hesx1
cmap-hsf-hmgb3,hmgb3
cmap-hsf-hmgb4,hmgb4
cmap-hsf-hoxa10,hoxa10
cmap-hsf-hp1bp3,hp1bp3
cmap-hsf-krtap5-9,krtap5-9
cmap-hsf-lmx1a,lmx1a
cmap-hsf-mrps17,mrps17
cmap-hsf-ncoa1,ncoa1
cmap-hsf-ncoa2,ncoa2
cmap-hsf-ncoa3,ncoa3
cmap-hsf-nfat5,nfat5
cmap-hsf-pax3,pax3
cmap-hsf-pbrm1,pbrm1
cmap-hsf-pole4,pole4
cmap-hsf-prdm10,prdm10
cmap-hsf-prdm5,prdm5
cmap-hsf-rest,rest
cmap-hsf-rhoxf1,rhoxf1
cmap-hsf-rlf,rlf
cmap-hsf-sall4,sall4
cmap-hsf-shprh,shprh
cmap-hsf-slc22a4,slc22a4
cmap-hsf-smarcc1,smarcc1
cmap-hsf-snrnp25,snrnp25
cmap-hsf-u2af1,u2af1
cmap-hsf-ube2k,ube2k
cmap-hsf-zbed4,zbed4
cmap-hsf-zbtb40,zbtb40
cmap-hsf-zeb1,zeb1
cmap-hsf-zeb2,zeb2
cmap-hsf-zfpm2,zfpm2
cmap-hsf-zmat2,zmat2
cmap-hsf-znf141,znf141
cmap-hsf-znf148,znf148
cmap-hsf-znf321,znf321
cmap-hsf-znf335,znf335
cmap-hsf-znf385c,znf385c
cmap-hsf-znf396,znf396
cmap-hsf-znf423,znf423
cmap-hsf-znf428,znf428
cmap-hsf-znf468,znf468
cmap-hsf-znf521,znf521
cmap-hsf-znf536,znf536
cmap-hsf-znf551,znf551
cmap-hsf-znf592,znf592
cmap-hsf-znf69,znf69
cmap-hsf-znf695,znf695
cmap-hsf-znf697,znf697
cmap-hsf-znf808,znf808
cmap-hsf-znf827,znf827
cmap-hsf-zscan1,zscan1
cmap-hsf-zscan2,zscan2
cmap-hsf-atf2,atf2
cmap-hsf-cbll1,cbll1
cmap-hsf-ccdc79,ccdc79
cmap-hsf-dach2,dach2
cmap-hsf-dmrt3,dmrt3
cmap-hsf-dmrta1,dmrta1
cmap-hsf-ebf3,ebf3
cmap-hsf-esrra,esrra
cmap-hsf-etv1,etv1
cmap-hsf-foxc2,foxc2
cmap-hsf-foxj2,foxj2
cmap-hsf-foxo4,foxo4
cmap-hsf-gcm1,gcm1
cmap-hsf-gcm2,gcm2
cmap-hsf-homez,homez
cmap-hsf-hsf5,hsf5
cmap-hsf-kat5,kat5
cmap-hsf-nr1h4,nr1h4
cmap-hsf-nr5a2,nr5a2
cmap-hsf-pax7,pax7
cmap-hsf-rgs11,rgs11
cmap-hsf-rgs6,rgs6
cmap-hsf-rgs9,rgs9
cmap-hsf-rora,rora
cmap-hsf-sim2,sim2
cmap-hsf-tbx15,tbx15
cmap-hsf-thrb,thrb
cmap-hsf-tigd6,tigd6
cmap-hsf-trit1,trit1
cmap-hsf-zfp161,zfp161
cmap-hsf-zfp2,zfp2
cmap-hsf-zfp3,zfp3
cmap-hsf-zic3,zic3
cmap-hsf-zik1,zik1
cmap-hsf-zim3,zim3
cmap-hsf-znf155,znf155
cmap-hsf-znf195,znf195
cmap-hsf-znf20,znf20
cmap-hsf-znf222,znf222
cmap-hsf-znf266,znf266
cmap-hsf-znf30,znf30
cmap-hsf-znf320,znf320
cmap-hsf-znf404,znf404
cmap-hsf-znf430,znf430
cmap-hsf-znf454,znf454
cmap-hsf-znf460,znf460
cmap-hsf-znf486,znf486
cmap-hsf-znf497,znf497
cmap-hsf-znf500,znf500
cmap-hsf-znf517,znf517
cmap-hsf-znf564,znf564
cmap-hsf-znf569,znf569
cmap-hsf-znf570,znf570
cmap-hsf-znf572,znf572
cmap-hsf-znf582,znf582
cmap-hsf-znf587,znf587
cmap-hsf-znf619,znf619
cmap-hsf-znf621,znf621
cmap-hsf-znf627,znf627
cmap-hsf-znf672,znf672
cmap-hsf-znf701,znf701
cmap-hsf-znf718,znf718
cmap-hsf-znf75d,znf75d
cmap-hsf-znf772,znf772
cmap-hsf-znf85,znf85
cmap-hsf-znf98,znf98
cmap-hsf-zrsr1,zrsr1
cmap-hsf-zrsr2,zrsr2
cmap-hsf-zscan22,zscan22
cmap-hsf-zscan29,zscan29
cmap-hsf-ahdc1,ahdc1
cmap-hsf-arntl2,arntl2
cmap-hsf-ascl4,ascl4
cmap-hsf-batf3,batf3
cmap-hsf-c20orf194,c20orf194
cmap-hsf-cdx1,cdx1
cmap-hsf-creb3l4,creb3l4
cmap-hsf-esr1,esr1
cmap-hsf-ferd3l,ferd3l
cmap-hsf-foxd4l6,foxd4l6
cmap-hsf-foxp3,foxp3
cmap-hsf-grhl3,grhl3
cmap-hsf-gtf2h2,gtf2h2
cmap-hsf-hand1,hand1
cmap-hsf-hist1h1a,hist1h1a
cmap-hsf-hist1h1t,hist1h1t
cmap-hsf-hmg20b,hmg20b
cmap-hsf-hmgb1,hmgb1
cmap-hsf-hoxb7,hoxb7
cmap-hsf-irf8,irf8
cmap-hsf-irf9,irf9
cmap-hsf-klf17,klf17
cmap-hsf-lef1,lef1
cmap-hsf-lin28,lin28
cmap-hsf-mnt,mnt
cmap-hsf-mxd1,mxd1
cmap-hsf-myog,myog
cmap-hsf-ppp1r10,ppp1r10
cmap-hsf-prdm7,prdm7
cmap-hsf-rbm26,rbm26
cmap-hsf-rel,rel
cmap-hsf-st18,st18
cmap-hsf-stat5b,stat5b
cmap-hsf-tal2,tal2
cmap-hsf-tigd7,tigd7
cmap-hsf-zbed2,zbed2
cmap-hsf-zbp1,zbp1
cmap-hsf-zbtb7a,zbtb7a
cmap-hsf-zc3h7b,zc3h7b
cmap-hsf-zfp112,zfp112
cmap-hsf-zkscan2,zkscan2
cmap-hsf-znf114,znf114
cmap-hsf-znf134,znf134
cmap-hsf-znf192,znf192
cmap-hsf-znf200,znf200
cmap-hsf-znf217,znf217
cmap-hsf-znf248,znf248
cmap-hsf-znf268,znf268
cmap-hsf-znf280a,znf280a
cmap-hsf-znf285a,znf285a
cmap-hsf-znf329,znf329
cmap-hsf-znf415,znf415
cmap-hsf-znf513,znf513
cmap-hsf-znf518a,znf518a
cmap-hsf-znf57,znf57
cmap-hsf-znf599,znf599
cmap-hsf-znf645,znf645
cmap-hsf-znf77,znf77
cmap-hsf-znf791,znf791
cmap-hsf-anapc2,anapc2
cmap-hsf-armc5,armc5
cmap-hsf-bard1,bard1
cmap-hsf-brca1,brca1
cmap-hsf-btbd12,btbd12
cmap-hsf-cblb,cblb
cmap-hsf-ccnf,ccnf
cmap-hsf-cpsf1,cpsf1
cmap-hsf-cul2,cul2
cmap-hsf-cul4b,cul4b
cmap-hsf-dtx3l,dtx3l
cmap-hsf-dzip3,dzip3
cmap-hsf-fbxl13,fbxl13
cmap-hsf-fbxo10,fbxo10
cmap-hsf-fbxo11,fbxo11
cmap-hsf-fbxo18,fbxo18
cmap-hsf-fbxo34,fbxo34
cmap-hsf-fbxo36,fbxo36
cmap-hsf-fbxo38,fbxo38
cmap-hsf-fbxo40,fbxo40
cmap-hsf-fbxo42,fbxo42
cmap-hsf-fbxw7,fbxw7
cmap-hsf-g2e3,g2e3
cmap-hsf-hecw2,hecw2
cmap-hsf-herc4,herc4
cmap-hsf-ibtk,ibtk
cmap-hsf-kctd3,kctd3
cmap-hsf-kiaa0317,kiaa0317
cmap-hsf-klhl1,klhl1
cmap-hsf-lnx1,lnx1
cmap-hsf-lonrf3,lonrf3
cmap-hsf-lrsam1,lrsam1
cmap-hsf-nedd4l,nedd4l
cmap-hsf-nedd8,nedd8
cmap-hsf-pcgf5,pcgf5
cmap-hsf-pja2,pja2
cmap-hsf-pml,pml
cmap-hsf-rag1,rag1
cmap-hsf-rfwd3,rfwd3
cmap-hsf-rnf10,rnf10
cmap-hsf-rnf111,rnf111
cmap-hsf-rnf17,rnf17
cmap-hsf-rnf20,rnf20
cmap-hsf-rnf31,rnf31
cmap-hsf-rnf40,rnf40
cmap-hsf-sh3rf2,sh3rf2
cmap-hsf-tceb3,tceb3
cmap-hsf-tceb3b,tceb3b
cmap-hsf-tnfaip3,tnfaip3
cmap-hsf-trim2,trim2
cmap-hsf-trim36,trim36
cmap-hsf-trim37,trim37
cmap-hsf-trim42,trim42
cmap-hsf-trim56,trim56
cmap-hsf-trim73,trim73
cmap-hsf-trim9,trim9
cmap-hsf-trip12,trip12
cmap-hsf-ube3b,ube3b
cmap-hsf-ube4a,ube4a
cmap-hsf-ubr1,ubr1
cmap-hsf-uhrf1,uhrf1
cmap-hsf-vps41,vps41
cmap-hsf-wwp1,wwp1
cmap-hsf-wwp2,wwp2
cmap-hsf-zbtb17,zbtb17
cmap-hsf-znf509,znf509
cmap-hsf-abtb1,abtb1
cmap-hsf-arih2,arih2
cmap-hsf-asb3,asb3
cmap-hsf-btbd1,btbd1
cmap-hsf-cblc,cblc
cmap-hsf-det1,det1
cmap-hsf-dtx4,dtx4
cmap-hsf-fbxo3,fbxo3
cmap-hsf-fbxo46,fbxo46
cmap-hsf-fbxo7,fbxo7
cmap-hsf-fbxw11,fbxw11
cmap-hsf-gmcl1,gmcl1
cmap-hsf-kbtbd4,kbtbd4
cmap-hsf-kbtbd8,kbtbd8
cmap-hsf-kcna3,kcna3
cmap-hsf-kcna6,kcna6
cmap-hsf-kcnc1,kcnc1
cmap-hsf-kcns2,kcns2
cmap-hsf-kcns3,kcns3
cmap-hsf-kctd8,kctd8
cmap-hsf-klhl12,klhl12
cmap-hsf-klhl18,klhl18
cmap-hsf-klhl28,klhl28
cmap-hsf-klhl29,klhl29
cmap-hsf-klhl32,klhl32
cmap-hsf-klhl36,klhl36
cmap-hsf-lztr1,lztr1
cmap-hsf-mdm2,mdm2
cmap-hsf-mdm4,mdm4
cmap-hsf-mex3d,mex3d
cmap-hsf-mgrn1,mgrn1
cmap-hsf-ppil2,ppil2
cmap-hsf-prpf19,prpf19
cmap-hsf-rabgef1,rabgef1
cmap-hsf-rad18,rad18
cmap-hsf-rbck1,rbck1
cmap-hsf-rcbtb2,rcbtb2
cmap-hsf-rnf14,rnf14
cmap-hsf-rnf19b,rnf19b
cmap-hsf-rnf213,rnf213
cmap-hsf-rnf219,rnf219
cmap-hsf-rnf8,rnf8
cmap-hsf-rspry1,rspry1
cmap-hsf-socs5,socs5
cmap-hsf-socs6,socs6
cmap-hsf-traf2,traf2
cmap-hsf-traf4,traf4
cmap-hsf-traf5,traf5
cmap-hsf-traf6,traf6
cmap-hsf-traip,traip
cmap-hsf-trim17,trim17
cmap-hsf-trim21,trim21
cmap-hsf-trim22,trim22
cmap-hsf-trim26,trim26
cmap-hsf-trim27,trim27
cmap-hsf-trim39,trim39
cmap-hsf-trim41,trim41
cmap-hsf-trim46,trim46
cmap-hsf-trim60,trim60
cmap-hsf-trim7,trim7
cmap-hsf-ubox5,ubox5
cmap-hsf-xiap,xiap
cmap-hsf-zbtb45,zbtb45
cmap-hsf-actl6a,actl6a
cmap-hsf-aof2,aof2
cmap-hsf-bcl6,bcl6
cmap-hsf-cbx8,cbx8
cmap-hsf-chaf1b,chaf1b
cmap-hsf-dnmt3a,dnmt3a
cmap-hsf-ehmt2,ehmt2
cmap-hsf-ercc6,ercc6
cmap-hsf-ezh1,ezh1
cmap-hsf-ezh2,ezh2
cmap-hsf-fbxl10,fbxl10
cmap-hsf-h2afy,h2afy
cmap-hsf-h2afy2,h2afy2
cmap-hsf-hdac1,hdac1
cmap-hsf-hdac10,hdac10
cmap-hsf-hdac3,hdac3
cmap-hsf-hdac4,hdac4
cmap-hsf-hdac6,hdac6
cmap-hsf-hif1an,hif1an
cmap-hsf-hspbap1,hspbap1
cmap-hsf-jmjd1a,jmjd1a
cmap-hsf-jmjd1b,jmjd1b
cmap-hsf-jmjd2b,jmjd2b
cmap-hsf-jmjd2d,jmjd2d
cmap-hsf-jmjd4,jmjd4
cmap-hsf-jmjd5,jmjd5
cmap-hsf-jmjd6,jmjd6
cmap-hsf-klhdc3,klhdc3
cmap-hsf-mcm2,mcm2
cmap-hsf-mcm7,mcm7
cmap-hsf-mina,mina
cmap-hsf-mll5,mll5
cmap-hsf-mpo,mpo
cmap-hsf-nap1l1,nap1l1
cmap-hsf-nap1l3,nap1l3
cmap-hsf-nasp,nasp
cmap-hsf-padi4,padi4
cmap-hsf-pold1,pold1
cmap-hsf-pole,pole
cmap-hsf-prdm1,prdm1
cmap-hsf-prdm4,prdm4
cmap-hsf-prmt7,prmt7
cmap-hsf-rb1,rb1
cmap-hsf-rbbp4,rbbp4
cmap-hsf-rbm14,rbm14
cmap-hsf-rcc1,rcc1
cmap-hsf-ring1,ring1
cmap-hsf-rps6ka5,rps6ka5
cmap-hsf-setd5,setd5
cmap-hsf-setd6,setd6
cmap-hsf-setd7,setd7
cmap-hsf-setd8,setd8
cmap-hsf-setmar,setmar
cmap-hsf-sirt1,sirt1
cmap-hsf-sirt2,sirt2
cmap-hsf-smarca5,smarca5
cmap-hsf-smarcc2,smarcc2
cmap-hsf-smarcd1,smarcd1
cmap-hsf-smyd1,smyd1
cmap-hsf-smyd3,smyd3
cmap-hsf-smyd4,smyd4
cmap-hsf-suv420h1,suv420h1
cmap-hsf-taf6l,taf6l
cmap-hsf-timeless,timeless
cmap-hsf-tmpo,tmpo
cmap-hsf-whsc1l1,whsc1l1
cmap-hsf-atf3,atf3
cmap-hsf-atf4,atf4
cmap-hsf-clock,clock
cmap-hsf-creb1,creb1
cmap-hsf-crem,crem
cmap-hsf-crx,crx
cmap-hsf-ddit3,ddit3
cmap-hsf-dlx1,dlx1
cmap-hsf-dlx4,dlx4
cmap-hsf-esr2,esr2
cmap-hsf-foxa3,foxa3
cmap-hsf-foxm1,foxm1
cmap-hsf-gli1,gli1
cmap-hsf-hes2,hes2
cmap-hsf-id1,id1
cmap-hsf-id2,id2
cmap-hsf-junb,junb
cmap-hsf-klf6,klf6
cmap-hsf-max,max
cmap-hsf-meox2,meox2
cmap-hsf-neurod1,neurod1
cmap-hsf-neurog1,neurog1
cmap-hsf-nfe2l1,nfe2l1
cmap-hsf-nfya,nfya
cmap-hsf-nfyb,nfyb
cmap-hsf-nkx2-5,nkx2-5
cmap-hsf-otx2,otx2
cmap-hsf-pitx1,pitx1
cmap-hsf-pitx2,pitx2
cmap-hsf-pou5f1,pou5f1
cmap-hsf-ppara,ppara
cmap-hsf-rela,rela
cmap-hsf-sirt4,sirt4
cmap-hsf-snai1,snai1
cmap-hsf-snai2,snai2
cmap-hsf-stat3,stat3
cmap-hsf-stat5a,stat5a
cmap-hsf-vhl,vhl
trcn0000059354,abcb7
trcn0000059356,abcb7
trcn0000059357,abcb7
trcn0000059364,abcc1
trcn0000059366,abcc1
trcn0000059367,abcc1
trcn0000060183,abcc10
trcn0000060186,abcc10
trcn0000060187,abcc10
trcn0000059403,abcc3
trcn0000059404,abcc3
trcn0000059406,abcc3
trcn0000005264,abcc4
trcn0000005265,abcc4
trcn0000005267,abcc4
trcn0000060303,abcc5
trcn0000060304,abcc5
trcn0000060307,abcc5
trcn0000039902,abl1
trcn0000028508,acadm
trcn0000028509,acadm
trcn0000028564,acadm
trcn0000035629,acat2
trcn0000035631,acat2
trcn0000035633,acat2
trcn0000045518,acsl1
trcn0000045519,acsl1
trcn0000045520,acsl1
trcn0000026476,adh5
trcn0000026484,adh5
trcn0000046418,akr1a1
trcn0000046420,akr1a1
trcn0000046422,akr1a1
trcn0000036544,akr1c1
trcn0000036546,akr1c1
trcn0000036547,akr1c1
trcn0000025694,akr1c3
trcn0000026540,akr1c3
trcn0000038984,akr7a2
trcn0000038985,akr7a2
trcn0000038986,akr7a2
trcn0000027188,aldh3a2
trcn0000027194,aldh3a2
trcn0000027215,aldh3a2
trcn0000027135,aldh3b2
trcn0000027177,aldh3b2
trcn0000027222,aldh3b2
trcn0000027257,aldh5a1
trcn0000027278,aldh5a1
trcn0000027309,aldh5a1
trcn0000028542,aldh6a1
trcn0000028558,aldh6a1
trcn0000028565,aldh6a1
trcn0000028424,aldh7a1
trcn0000028447,aldh7a1
trcn0000028463,aldh7a1
trcn0000013563,atf1
trcn0000013564,atf1
trcn0000013567,atf1
trcn0000013568,atf3
trcn0000013569,atf3
trcn0000013572,atf3
trcn0000013573,atf4
trcn0000013574,atf4
trcn0000013575,atf4
trcn0000034840,b4galt1
trcn0000034842,b4galt1
trcn0000034843,b4galt1
trcn0000061753,cat
trcn0000061754,cat
trcn0000061756,cat
trcn0000010316,ccnd1
trcn0000040038,ccnd1
trcn0000040039,ccnd1
trcn0000039961,cdk2
trcn0000045961,cox5a
trcn0000045962,cox5a
trcn0000007308,creb1
trcn0000007309,creb1
trcn0000007310,creb1
trcn0000005606,crebl2
trcn0000005608,crebl2
trcn0000005609,crebl2
trcn0000064373,cyp51a1
trcn0000064377,cyp51a1
trcn0000046509,dhcr24
trcn0000046511,dhcr24
trcn0000046512,dhcr24
trcn0000046598,dhcr7
trcn0000046599,dhcr7
trcn0000046600,dhcr7
trcn0000025799,dpyd
trcn0000025809,dpyd
trcn0000025847,dpyd
trcn0000013783,dr1
trcn0000013784,dr1
trcn0000013787,dr1
trcn0000033335,dvl1
trcn0000033336,dvl1
trcn0000033338,dvl1
trcn0000013804,e2f3
trcn0000013805,e2f3
trcn0000013806,e2f3
trcn0000013808,e2f4
trcn0000013810,e2f4
trcn0000013812,e2f4
trcn0000013813,e2f5
trcn0000013816,e2f5
trcn0000013817,e2f5
trcn0000013818,e2f6
trcn0000013820,e2f6
trcn0000013821,e2f6
trcn0000049393,ebp
trcn0000049395,ebp
trcn0000049397,ebp
trcn0000040111,erbb3
trcn0000022179,esrra
trcn0000022181,esrra
trcn0000022183,esrra
trcn0000010474,ezh2
trcn0000040074,ezh2
trcn0000040075,ezh2
trcn0000036324,fdft1
trcn0000036327,fdft1
trcn0000036294,fdps
trcn0000036295,fdps
trcn0000036297,fdps
trcn0000040098,foxo3
trcn0000040101,foxo3
trcn0000025817,g6pd
trcn0000025843,g6pd
trcn0000025853,g6pd
trcn0000028600,glud1
trcn0000028652,glud1
trcn0000028655,glud1
trcn0000034784,got1
trcn0000034785,got1
trcn0000034786,got1
trcn0000040002,gsk3b
trcn0000019315,gtf2i
trcn0000019316,gtf2i
trcn0000019317,gtf2i
trcn0000004821,hdac2
trcn0000039908,irs1
trcn0000039909,irs1
trcn0000039911,irs1
trcn0000028488,ldhb
trcn0000028502,ldhb
trcn0000072264,luciferase
trcn0000072266,luciferase
trcn0000040045,met
trcn0000040046,met
trcn0000040047,met
trcn0000039758,mlst8
trcn0000039759,mlst8
trcn0000039762,mlst8
trcn0000040058,myb
trcn0000040059,myb
